%q Iq Pq Sq Zq Bq Bq2
1.576860700e-02 1.005866365e+01 1.878970892e-12 1.276542128e-01 4.755077765e-02 9.999999799e-01 1.000000000e+00
1.582141000e-02 1.016716385e+01 1.877641615e-12 1.291933472e-01 4.905988675e-02 9.999999797e-01 1.000000000e+00
1.587421400e-02 1.028229060e+01 1.876308686e-12 1.308204268e-01 5.066097577e-02 9.999999796e-01 1.000000000e+00
1.592701800e-02 1.040463939e+01 1.874972137e-12 1.325434061e-01 5.236249653e-02 9.999999795e-01 1.000000000e+00
1.597982100e-02 1.053488010e+01 1.873632000e-12 1.343712319e-01 5.417395581e-02 9.999999793e-01 1.000000000e+00
1.603262500e-02 1.067377694e+01 1.872288234e-12 1.363141141e-01 5.610619524e-02 9.999999792e-01 1.000000000e+00
1.608542900e-02 1.082218780e+01 1.870940870e-12 1.383835065e-01 5.817138655e-02 9.999999790e-01 1.000000000e+00
1.613823300e-02 1.098109088e+01 1.869589918e-12 1.405924699e-01 6.038340704e-02 9.999999789e-01 1.000000000e+00
1.619103600e-02 1.115159943e+01 1.868235410e-12 1.429558644e-01 6.275804943e-02 9.999999788e-01 1.000000000e+00
1.624384000e-02 1.133499949e+01 1.866877304e-12 1.454908609e-01 6.531355530e-02 9.999999786e-01 1.000000000e+00
1.629664400e-02 1.153276068e+01 1.865515631e-12 1.482170745e-01 6.807077240e-02 9.999999785e-01 1.000000000e+00
1.634944800e-02 1.174658561e+01 1.864150402e-12 1.511572313e-01 7.105385337e-02 9.999999783e-01 1.000000000e+00
1.640225100e-02 1.197844752e+01 1.862781648e-12 1.543376670e-01 7.429079156e-02 9.999999782e-01 1.000000000e+00
1.645505500e-02 1.223066424e+01 1.861409327e-12 1.577893221e-01 7.781446797e-02 9.999999781e-01 1.000000000e+00
1.650785900e-02 1.250594199e+01 1.860033471e-12 1.615483163e-01 8.166327926e-02 9.999999779e-01 1.000000000e+00
1.656066200e-02 1.280747458e+01 1.858654117e-12 1.656572793e-01 8.588254425e-02 9.999999778e-01 1.000000000e+00
1.661346600e-02 1.313907401e+01 1.857271218e-12 1.701670992e-01 9.052635574e-02 9.999999776e-01 1.000000000e+00
